Model,Accuracy mean,Accuracy std,Balanced accuracy mean,Balanced accuracy std,Diabetes precision mean,Diabetes precision std,Diabetes recall mean,Diabetes recall std,Diabetes F1 mean,Diabetes F1 std,ROC-AUC mean,ROC-AUC std,PR-AUC mean,PR-AUC std
XGBoost,0.8671047870475739,0.00019011474736132158,0.5732997125521561,0.0005143031481312843,0.5808276578966853,0.0025478679434307074,0.16599301558189408,0.0010533018506824205,0.25819508921800316,0.001395791303559391,0.8310295284208825,0.0022458453140661834,0.4359254286838584,0.004565889901768175
XGBoost — weighted,0.7255485014421921,0.0017957625163848043,0.7531638122395269,0.0033443617491680155,0.310049162651695,0.0020556416813044343,0.7914474364467446,0.007146723583327278,0.4455489057898993,0.0029888407441494157,0.8307893227687299,0.0021370310264050034,0.4355538712335741,0.004038508254475407
Random Forest,0.8664571771686596,0.0006300770160610448,0.5538352243183817,0.0025545153507517838,0.6041705267749282,0.010137669292943222,0.12044247443568701,0.0053916695109860425,0.20080253047992763,0.007793239734395077,0.8276422083744125,0.0026913206189876472,0.43083682657464617,0.005506680115554878
Random Forest — balanced,0.7699013413192273,0.0012876366035938106,0.7451747308573677,0.004025823778079848,0.3428856635862752,0.0022081731469628645,0.7108959487010025,0.009207535007326337,0.46262208870399035,0.003672366673769228,0.8280088381276005,0.002534396136378879,0.4302712986112721,0.005764138317414742
Decision Tree,0.8650380706955467,0.0011235032464350194,0.5641217631425434,0.0027522626017725143,0.5606676398365908,0.01892588228524742,0.14695662123914535,0.006777957791932785,0.23270549362796306,0.00803883390800105,0.8176698160967529,0.002658052085161483,0.40983659871856737,0.007017701881619674
Decision Tree — balanced,0.7163355434349687,0.0043348762573806555,0.7410707809485715,0.003834980597649027,0.29979737877634954,0.0038821092814184345,0.775361647576501,0.005450694316357853,0.43239218970532256,0.004507235755600342,0.8180903027588717,0.002822407355380745,0.40919083895452246,0.0048827587062454615
Logistic Regression,0.8636302251663958,0.0007187912947475678,0.5677073182922552,0.0018786373653533423,0.5362218970070333,0.00876638292219249,0.15746470098480653,0.003790996043236424,0.2434241759670374,0.00509775116159336,0.8225285056668706,0.0018508840794301134,0.4058691327522044,0.0021599590160448234
Logistic Regression — balanced,0.7330664118054904,0.0013678089987293521,0.7474876794482928,0.002173787122245569,0.3131607007390398,0.0014230642272740001,0.7674801814400172,0.004954373398026397,0.44481556954805496,0.001971833769206096,0.823120596686457,0.0018393374933839564,0.4039596288408336,0.0024674069468146017
Dummy Classifier,0.860668108380386,1.2892878961845092e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.13933189161961407,1.2892878961858626e-05
